"id","age","pro","cmean_fm","cmean_hm","cn_fm","cn_hm","csd_fm","csd_hm"
"10th",4,"1.4",26.8,NA,17,NA,1.9,NA
"10th",4,"1.9",30.8,NA,18,NA,0.5,NA
"10th",4,"2.2",30.6,NA,24,NA,0.0999999999999051,NA
"10th",4,"hm",NA,27.8,NA,82,NA,1.40000000000001
"11th",3,"2.2",30.1,NA,75,NA,2.70000000000002,NA
"11th",3,"2.3",32.3,NA,76,NA,3.1,NA
"11th",3,"hm",NA,27.8,NA,109,NA,2.70000000000001
"12th",1,"2",35.2,NA,45,NA,10,NA
"12th",1,"2.2",35.5,NA,50,NA,9.4,NA
"12th",1,"hm",NA,36.7,NA,58,NA,12.4
"12th",2,"2",34.2,NA,45,NA,9.4,NA
"12th",2,"2.2",33.3,NA,50,NA,8.5,NA
"12th",2,"hm",NA,33.9,NA,58,NA,11.2
"12th",3,"2",31.7,NA,45,NA,8.6,NA
"12th",3,"2.2",30.6,NA,50,NA,8.4,NA
"12th",3,"hm",NA,30.5,NA,58,NA,10.7
"13th",1,"1.8",26,NA,56,NA,8.3,NA
"13th",1,"2.2",30.9,NA,29,NA,8,NA
"13th",1,"hm",NA,27.7,NA,28,NA,9.5
"13th",2,"1.8",28.8,NA,56,NA,7.3,NA
"13th",2,"2.2",32.8,NA,29,NA,6.69999999999999,NA
"13th",2,"hm",NA,30.1,NA,28,NA,6.7
"13th",3,"1.8",27.9,NA,56,NA,6.1,NA
"13th",3,"2.2",30.8,NA,29,NA,56,NA
"13th",3,"hm",NA,27.8,NA,28,NA,5.3
"13th",4,"1.8",26.5,NA,56,NA,5.4,NA
"13th",4,"2.2",28.6,NA,29,NA,4.40000000000001,NA
"13th",4,"hm",NA,25.4,NA,28,NA,4.6
"15th",4,"1.8",28.8,NA,113,NA,3.29999999999999,NA
"15th",4,"hm",NA,26.8,NA,56,NA,3
"16th",3,"2.4",32.2,NA,51,NA,1.1,NA
"16th",3,"hm",NA,34.5,NA,25,NA,1.10000000000002
"17th",4,"1.7",26.9,NA,88,NA,2.2,NA
"17th",4,"2.1",27.3,NA,85,NA,2,NA
"17th",4,"hm",NA,24.7,NA,65,NA,3.6
"17th",6,"1.7",24,NA,88,NA,2.40000000000001,NA
"17th",6,"2.1",24.8,NA,82,NA,2.1,NA
"17th",6,"hm",NA,22,NA,65,NA,2.9
"18th",1,"2",29.5,NA,186,NA,2.19999999999999,NA
"18th",1,"hm",NA,26.8,NA,55,NA,1.90000000000001
"18th",2,"2",30.8,NA,173,NA,2.80000000000001,NA
"18th",2,"hm",NA,28.8,NA,53,NA,2.59999999999999
"18th",3,"2",30,NA,168,NA,2.8,NA
"18th",3,"hm",NA,27.6,NA,51,NA,2.7
"18th",4,"2",29.4,NA,166,NA,3,NA
"18th",4,"hm",NA,26.7,NA,50,NA,2.59999999999999
"19th",1,"2",41.1,NA,52,NA,5.40000000000001,NA
"19th",1,"hm",NA,41.5,NA,26,NA,9.7
"19th",3,"2",33.2,NA,52,NA,3.80000000000001,NA
"19th",3,"hm",NA,34.2,NA,26,NA,5.8
"1st",1,"1.8",36.5,NA,51,NA,7.8,NA
"1st",1,"2.6",34.9,NA,50,NA,6.8,NA
"1st",1,"hm",NA,34.2,NA,50,NA,11.4
"1st",2,"1.8",34.1,NA,51,NA,7.9,NA
"1st",2,"2.6",34.2,NA,50,NA,6.4,NA
"1st",2,"hm",NA,31.4,NA,43,NA,10.4
"1st",3,"1.8",31.3,NA,51,NA,7.4,NA
"1st",3,"2.6",31.1,NA,50,NA,6.3,NA
"1st",3,"hm",NA,28,NA,31,NA,10.1
"1st",4,"1.8",29.7,NA,51,NA,5.4,NA
"1st",4,"2.6",29.3,NA,50,NA,3.69999999999999,NA
"1st",4,"hm",NA,25.3,NA,25,NA,9.6
"20th",4,"1.7",26.9,NA,53,NA,2.39999999999999,NA
"20th",4,"2.1",26.8,NA,45,NA,1.7,NA
"20th",4,"hm",NA,24.2,NA,36,NA,4.1
"20th",6,"1.7",23.8,NA,53,NA,2.4,NA
"20th",6,"2.1",24.3,NA,44,NA,1.8,NA
"20th",6,"hm",NA,21.3,NA,36,NA,3
"2nd",2,"2.2",35.5,NA,87,NA,8.8,NA
"2nd",2,"hm",NA,34.5,NA,70,NA,8.7
"3rd",1,"2",32.5,NA,149,NA,2.80000000000001,NA
"3rd",1,"hm",NA,34.6,NA,35,NA,2.90000000000001
"3rd",2,"2",27.3,NA,162,NA,2.20000000000001,NA
"3rd",2,"hm",NA,30.9,NA,74,NA,3.1
"3rd",3,"2",28.4,NA,148,NA,2.6,NA
"3rd",3,"hm",NA,29.9,NA,70,NA,3.5
"3rd",4,"2",27.1,NA,128,NA,2.5,NA
"3rd",4,"hm",NA,27.3,NA,65,NA,3.6
"4th",2,"1.9",34.5,NA,50,NA,4,NA
"4th",2,"2.5",33.9,NA,50,NA,3.1,NA
"4th",2,"hm",NA,30.3,NA,50,NA,4.2
"4th",4,"1.9",29.9,NA,50,NA,3.79999999999999,NA
"4th",4,"2.5",29.6,NA,50,NA,3.1,NA
"4th",4,"hm",NA,27.5,NA,50,NA,3.5
"5th",2,"2.2",28.2,NA,200,NA,3.60000000000001,NA
"5th",2,"hm",NA,27.2,NA,101,NA,3.4
"5th",4,"2.2",26.6,NA,200,NA,2.69999999999999,NA
"5th",4,"hm",NA,24.5,NA,101,NA,3.4
"5th",5,"2.2",26.3,NA,173,NA,2.70000000000001,NA
"5th",5,"hm",NA,24.2,NA,96,NA,2.70000000000001
"6th",4,"1.9",27.8,NA,103,NA,5.29999999999999,NA
"6th",4,"2.1",28.1,NA,108,NA,5.4,NA
"6th",4,"hm",NA,26.6,NA,110,NA,5.4
"7th",2,"1.8",30.3,NA,72,NA,2.5,NA
"7th",2,"2.7",32.3,NA,77,NA,3.5,NA
"7th",2,"hm",NA,29.7,NA,71,NA,4.5
"7th",4,"1.8",26.1,NA,71,NA,2.39999999999999,NA
"7th",4,"2.7",27.7,NA,74,NA,2.9,NA
"7th",4,"hm",NA,24,NA,65,NA,3.1
"7th",6,"1.8",23.4,NA,71,NA,2.20000000000001,NA
"7th",6,"2.7",24.8,NA,72,NA,2.69999999999999,NA
"7th",6,"hm",NA,22.4,NA,63,NA,2.09999999999999
"8th",4,"1.8",30.7,NA,173,NA,6.3,NA
"9th",3,"2.2",35.7,NA,65,NA,2.4,NA
"9th",3,"hm",NA,34.1,NA,63,NA,1.19999999999999
